08.03.2024,Groceries,"22,00",,6,.03.24
08.03.2024,Regular,"33,00",Netflix,6,.03.24
08.03.2024,Health,"81,84",,6,.03.24
08.03.2024,Groceries,"63,67",,6,.03.24
09.03.2024,Transport,"10,80",,7,.03.24
09.03.2024,Health,"4,86",,7,.03.24
09.03.2024,Groceries,"1,80",,7,.03.24
09.03.2024,Groceries,"11,90",,7,.03.24
10.03.2024,Outside lunch,"83,70",,1,.03.24
10.03.2024,Groceries,"14,40",,1,.03.24
10.03.2024,Outside lunch,"20,10",синабон,1,.03.24
10.03.2024,Bad habits,"7,80",,1,.03.24
10.03.2024,Regular,"13,00",spotify,1,.03.24
10.03.2024,Transport,"6,60",,1,.03.24
10.03.2024,Health,"41,50",lindinet 20,1,.03.24
11.03.2024,Groceries,"10,80",,2,.03.24
11.03.2024,Outside lunch,"122,00",,2,.03.24
11.03.2024,Groceries,"1,55",,2,.03.24
11.03.2024,Hobby,"20,00",volleyball,2,.03.24
11.03.2024,Transport,"7,40",,2,.03.24
11.03.2024,Transport,"1,00",,2,.03.24
11.03.2024,Groceries,"1,65",,2,.03.24
12.03.2024,Regular,"140,00",Психолог ,3,.03.24
12.03.2024,Groceries,"28,70",,3,.03.24
12.03.2024,Transport,"33,00",,3,.03.24
12.03.2024,Hobby,"161,79",Обучение с рублёвой,3,.03.24
12.03.2024,Delivery,"65,89",,3,.03.24
12.03.2024,Bad habits,"7,80",,3,.03.24
12.03.2024,Entertainment,"38,00",,3,.03.24
12.03.2024,Entertainment,"106,00",Symphony concert with music from Harry Potter,3,.03.24
12.03.2024,Groceries,"3,10",cola,3,.03.24
12.03.2024,Groceries,"8,95",,3,.03.24
12.03.2024,Delivery,"41,04",,3,.03.24
13.03.2024,Transport,"11,00",,4,.03.24
13.03.2024,Groceries,"59,08",,4,.03.24
14.03.2024,Groceries,"65,49",,5,.03.24
14.03.2024,Bad habits,"7,80",,5,.03.24
15.03.2024,Delivery,"42,99",,6,.03.24
15.03.2024,Regular,"8,99",Wolt,6,.03.24
15.03.2024,Transport,"4,90",,6,.03.24
15.03.2024,Groceries,"204,53",,6,.03.24
16.03.2024,Regular,"110,00",adobe,7,.03.24
16.03.2024,Bad habits,"8,10",,7,.03.24
16.03.2024,Groceries,"50,39",,7,.03.24
17.03.2024,Outside lunch,"112,10",,1,.03.24
17.03.2024,Groceries,"8,50",,1,.03.24
18.03.2024,Transport,"7,20",,2,.03.24
18.03.2024,Bad habits,"7,80",,2,.03.24
18.03.2024,Regular,"9,10",apple,2,.03.24
18.03.2024,Transport,"7,60",,2,.03.24
18.03.2024,Delivery,"24,72",,2,.03.24
19.03.2024,Delivery,"42,99",,3,.03.24
19.03.2024,Regular,"32,00",magti,3,.03.24
19.03.2024,Transport,"19,20",,3,.03.24
19.03.2024,Gifts,"79,00",,3,.03.24
19.03.2024,Health,"69,01",,3,.03.24
19.03.2024,Health,"140,00",,3,.03.24
20.03.2024,Delivery,"39,84",,4,.03.24
20.03.2024,Bad habits,"7,80",,4,.03.24
20.03.2024,Hobby,"45,00",,4,.03.24
21.03.2024,Delivery,"57,89",,5,.03.24
21.03.2024,Transport,"8,00",,5,.03.24
21.03.2024,Groceries,"25,89",,5,.03.24
